province,x1,x2,x3,x4,x5,x6,x7,x8
Beijing,2,3,,,,,,
Tianjin,1,3,15,,,,,
Hebei,1,2,4,5,6,15,16,
Shaanxi,3,5,16,27,,,,
Inner Mongolia,3,4,6,7,8,27,28,30
Liaoning,3,5,7,,,,,
Jilin,5,6,8,,,,,
Heilongjiang,5,7,,,,,,
Shanghai,10,11,,,,,,
Jiangsu,9,11,12,15,,,,
Zhejiang,9,10,12,13,14,,,
Anhui,10,11,14,15,16,17,,
Fujian,11,14,19,,,,,
Jiangxi,11,12,13,17,18,19,,
Shandong,2,3,10,12,16,,,
Henan,3,4,12,15,17,27,,
Hubei,12,14,16,18,22,27,,
Hunan,14,17,19,20,22,24,,
Guangdong,13,14,18,20,21,,,
Guangxi,18,19,24,25,,,,
Hainan,19,,,,,,,
Sichuan,17,18,23,24,27,,,
Chongqing,22,24,25,26,27,28,29,
Guizhou,18,20,22,23,25,,,
Yunnan,20,23,24,26,,,,
Tibet,23,25,29,31,,,,
Shanxi,4,5,16,17,22,23,28,30
Gansu,5,23,27,29,30,31,,
Qinghai,23,26,28,31,,,,
Ningxia,5,27,28,,,,,
Xinjiang,26,28,29,,,,,
